sex,age,mother.education,father.education,parent.status,mother.job,father.job,guardian,travel.time.to.school,study.time,failures,internet.at.home,has.romantic.partner,family.relations,free.time,go.out.for.fun,alcohol.use,health,absences,academic.success
M,15,4,3,living.together,teacher,at_home,mother,1,2,0,yes,yes,4,5,2,1,5,0,16
M,15,3,3,living.together,other,other,mother,1,2,0,yes,no,5,3,2,1,2,0,12
M,16,3,2,living.together,other,other,mother,1,1,0,yes,no,5,4,3,1,5,0,15
F,15,2,3,living.together,other,other,father,2,1,0,no,no,3,5,1,1,5,0,6
M,15,4,3,living.together,teacher,services,mother,1,3,0,yes,no,5,4,3,1,4,2,18
M,16,4,4,living.apart,other,teacher,mother,2,3,0,yes,yes,2,4,3,1,5,7,15
F,15,3,4,living.together,services,health,mother,1,3,0,yes,no,4,3,2,1,5,2,11
F,15,2,2,living.together,at_home,other,mother,1,1,0,no,no,4,3,1,1,2,8,13
F,16,2,2,living.together,other,other,mother,2,2,1,yes,yes,3,3,3,2,3,25,11
M,15,4,4,living.together,teacher,other,other,1,1,0,yes,yes,5,4,3,4,5,8,12
M,15,4,4,living.together,services,teacher,father,1,2,0,yes,no,4,3,3,1,5,2,18
M,15,2,2,living.together,services,services,father,1,1,0,yes,no,5,4,1,1,1,0,11
F,16,2,2,living.together,other,at_home,father,2,2,1,yes,no,4,3,3,2,5,14,9
F,15,4,3,living.apart,other,other,mother,1,2,0,yes,yes,5,2,2,1,5,8,6
F,16,3,3,living.apart,other,services,mother,1,2,0,yes,no,2,3,5,4,3,12,11
M,16,4,3,living.together,health,services,mother,1,4,0,yes,no,4,2,2,1,2,4,20
M,15,4,2,living.together,teacher,other,mother,1,2,0,no,no,4,3,3,2,5,2,14
F,15,4,4,living.together,services,teacher,father,1,2,1,yes,no,4,4,4,1,3,2,7
F,16,2,2,living.together,services,services,mother,3,2,0,yes,no,4,3,3,3,4,2,13
F,15,4,2,living.together,health,other,mother,1,2,0,yes,no,4,3,3,1,5,2,13
M,15,4,2,living.apart,health,health,father,2,1,1,no,no,5,5,5,4,5,6,10
F,15,4,4,living.together,services,services,mother,1,1,0,yes,no,3,3,4,3,5,0,11
F,15,3,3,living.apart,other,other,mother,1,1,0,yes,no,5,3,4,4,1,6,13
F,16,2,1,living.apart,other,other,mother,1,2,0,yes,yes,5,3,4,1,2,8,10
F,15,4,3,living.apart,services,services,mother,1,2,0,yes,no,4,3,2,1,1,0,15
M,15,4,4,living.together,teacher,health,mother,1,2,0,no,no,3,2,2,1,5,4,15
M,15,1,2,living.together,other,at_home,father,1,2,0,yes,no,4,3,2,1,5,2,9
F,16,4,2,living.together,services,other,mother,1,2,0,yes,no,4,2,3,1,5,2,16
F,16,4,4,living.together,health,teacher,mother,1,2,0,no,no,2,4,4,3,4,6,11
F,16,1,1,living.together,services,services,father,4,1,0,yes,yes,5,5,5,5,5,6,11
F,16,1,2,living.together,other,services,father,1,2,0,yes,no,4,4,3,1,1,4,9
F,16,4,3,living.together,teacher,health,mother,1,3,0,yes,no,3,4,4,4,4,2,9
F,15,4,3,living.together,services,services,father,1,2,0,yes,yes,4,4,4,4,2,0,10
F,16,4,3,living.together,teacher,services,mother,3,2,0,yes,no,5,4,3,2,1,2,15
M,15,4,4,living.apart,other,services,mother,1,4,0,yes,yes,1,3,3,5,3,4,12
F,16,3,1,living.together,services,other,mother,1,4,0,yes,no,4,3,3,2,5,4,6
F,15,2,2,living.together,health,services,mother,2,2,0,yes,no,4,1,3,3,4,2,8
F,15,3,1,living.together,other,other,father,2,4,0,yes,no,4,4,2,3,3,12,16
M,16,3,1,living.together,other,other,father,2,4,0,yes,no,4,3,2,1,5,0,15
M,15,4,2,living.together,other,other,mother,1,4,0,yes,no,3,3,3,1,3,0,10
F,15,1,1,living.together,other,other,mother,1,2,2,yes,yes,3,3,4,4,5,2,5
M,16,3,1,living.together,other,other,mother,1,1,0,no,no,5,3,2,2,5,2,14
F,16,3,3,living.together,other,services,mother,1,2,0,yes,no,4,3,3,4,5,54,11
M,15,4,3,living.together,teacher,other,mother,1,2,0,yes,no,4,3,3,3,5,6,10
M,15,4,0,living.together,teacher,other,mother,2,4,0,yes,no,3,4,3,1,1,8,10
F,16,2,2,living.together,other,other,mother,1,4,0,yes,yes,5,2,3,3,3,0,11
M,17,2,1,living.together,other,other,mother,2,1,3,yes,no,4,5,1,1,3,2,10
F,16,3,4,living.together,at_home,other,mother,1,2,0,yes,no,2,4,3,2,3,12,5
M,15,2,3,living.together,other,services,father,1,1,0,yes,yes,3,2,2,3,3,2,12
M,15,2,3,living.together,other,other,mother,1,3,0,yes,no,5,3,2,2,5,4,11
F,15,3,2,living.together,services,other,mother,1,2,0,yes,no,4,4,4,1,5,10,6
M,15,2,2,living.together,services,services,mother,2,2,0,yes,no,5,3,3,3,4,4,15
F,15,1,1,living.together,other,other,father,1,2,0,yes,no,4,3,2,3,4,2,10
F,15,4,4,living.together,services,services,father,2,2,2,yes,yes,4,4,4,3,5,6,8
F,16,2,2,living.together,at_home,other,mother,1,2,0,no,no,4,3,4,2,2,4,6
F,15,4,2,living.together,other,other,mother,1,3,0,yes,no,5,3,3,3,1,4,14
M,16,2,2,living.together,services,other,father,2,2,1,yes,no,4,4,2,1,3,12,10
M,16,4,4,living.apart,teacher,health,mother,1,2,0,no,no,4,1,3,5,5,18,7
F,16,3,3,living.together,other,other,mother,1,3,0,yes,yes,4,3,3,3,4,0,8
F,15,4,3,living.together,services,other,mother,1,1,0,yes,no,4,5,5,3,1,4,18
F,16,3,1,living.together,other,other,father,1,2,0,no,no,3,3,3,3,2,4,6
F,16,4,2,living.together,teacher,services,mother,2,2,0,yes,no,5,3,3,1,1,0,10
M,15,2,2,living.together,services,health,mother,1,4,0,yes,no,4,3,4,1,4,6,14
F,15,1,1,living.together,at_home,other,mother,2,4,1,yes,no,3,1,2,1,1,2,10
M,16,4,3,living.together,services,other,mother,2,1,0,yes,no,3,3,3,1,4,2,15
F,16,2,1,living.together,other,other,mother,1,2,0,no,yes,4,3,5,1,5,2,10
F,16,4,4,living.together,other,other,mother,1,1,0,yes,no,5,3,4,2,1,6,14
F,16,4,3,living.together,other,at_home,mother,1,3,0,yes,no,5,3,5,1,3,0,8
M,16,4,4,living.together,services,services,mother,1,1,0,yes,no,4,5,5,5,4,14,5
M,16,4,4,living.together,services,teacher,father,1,3,0,yes,yes,4,4,3,1,4,0,17
M,15,4,4,living.together,services,other,mother,1,1,0,yes,no,5,3,3,1,5,4,14
F,15,3,2,living.together,services,other,mother,2,2,0,yes,no,4,3,5,1,2,26,6
M,15,3,4,living.apart,services,other,mother,1,2,0,yes,no,5,4,4,1,1,0,18
F,15,3,3,living.apart,other,health,father,1,4,0,no,no,4,3,3,1,4,10,11
F,15,2,2,living.together,other,other,mother,1,4,0,yes,no,5,1,2,1,3,8,8
M,16,3,3,living.together,services,other,father,1,3,0,yes,no,5,3,3,1,5,2,18
M,15,4,4,living.together,other,other,father,4,4,0,yes,yes,1,3,5,5,1,6,13
F,16,4,4,living.together,health,health,mother,1,3,0,yes,yes,5,4,5,1,4,4,16
M,15,4,4,living.apart,teacher,teacher,mother,1,1,0,yes,no,5,5,3,1,4,6,19
F,16,3,3,living.together,services,other,father,1,3,1,yes,no,4,1,2,1,2,0,10
F,16,2,2,living.together,at_home,other,mother,1,2,1,yes,no,3,1,2,1,5,6,13
M,15,4,2,living.together,teacher,other,mother,1,1,0,yes,no,3,5,2,1,3,10,19
M,15,2,1,living.together,health,services,mother,1,2,0,yes,yes,5,4,2,1,5,8,9
M,16,4,4,living.together,teacher,teacher,father,1,2,0,yes,no,5,4,4,2,5,2,16
M,15,4,4,living.together,other,teacher,father,2,2,0,no,no,4,4,3,1,2,2,14
M,16,3,3,living.together,other,services,father,2,1,0,yes,no,5,4,2,1,5,0,13
M,17,1,3,living.together,other,other,father,3,2,1,yes,no,5,2,4,4,5,20,8
M,15,3,4,living.together,other,other,father,1,1,0,yes,no,3,4,3,2,4,6,13
F,15,1,2,living.together,at_home,services,mother,1,2,0,yes,no,3,2,3,2,1,2,15
M,15,2,2,living.together,services,services,father,1,4,0,yes,no,5,5,4,2,5,6,15
F,16,2,4,living.together,other,health,father,2,2,0,yes,yes,4,2,2,2,5,2,13
M,16,4,4,living.together,health,other,mother,1,1,0,yes,no,3,4,4,4,5,18,13
F,16,2,2,living.together,other,other,mother,1,2,0,yes,yes,5,4,4,1,5,0,8
M,15,3,4,living.together,services,services,father,1,1,0,yes,no,5,5,5,2,5,0,12
F,15,3,4,living.apart,other,other,mother,1,2,0,yes,yes,5,3,2,1,1,0,11
F,19,0,1,living.together,at_home,other,other,1,2,3,no,no,3,4,2,1,5,2,9
M,18,2,2,living.together,services,other,mother,1,1,2,yes,no,3,3,3,2,4,0,0
M,16,4,4,living.together,teacher,teacher,mother,1,1,0,yes,no,3,5,5,5,4,8,18
F,15,3,4,living.together,services,teacher,father,2,3,2,yes,yes,4,2,2,2,5,0,0
F,15,1,1,living.together,at_home,other,mother,3,1,0,yes,yes,4,3,3,2,4,0,0
F,17,2,2,living.together,other,other,father,1,1,0,yes,yes,3,4,4,3,5,12,12
F,16,3,4,living.apart,services,other,father,1,1,0,yes,no,3,2,1,4,5,16,11
M,15,3,4,living.together,at_home,teacher,mother,4,2,0,no,yes,5,3,3,1,5,0,0
F,15,4,4,living.together,services,at_home,mother,1,3,0,yes,yes,4,3,3,1,5,0,0
M,17,3,4,living.together,at_home,other,mother,3,2,0,no,no,5,4,5,4,5,0,0
F,16,3,3,living.apart,other,other,other,2,1,2,yes,yes,4,3,2,1,5,0,0
M,16,1,1,living.together,services,other,mother,1,2,1,no,yes,4,4,4,3,5,0,12
F,15,4,4,living.together,teacher,teacher,mother,2,1,0,yes,no,4,3,2,1,5,0,15
M,15,4,3,living.together,teacher,services,father,2,4,0,yes,no,2,2,2,1,3,0,0
M,16,2,2,living.together,services,services,father,2,1,2,yes,no,2,3,3,2,2,8,9
F,15,4,4,living.together,teacher,services,mother,1,3,0,yes,no,4,2,2,1,5,2,11
F,16,1,1,living.together,at_home,at_home,mother,1,1,0,yes,no,3,4,4,3,1,2,13
M,17,2,1,living.together,other,other,mother,1,1,3,yes,no,5,4,5,2,5,0,0
F,15,1,1,living.together,other,services,father,1,2,0,yes,no,4,4,2,2,5,0,11
F,15,3,2,living.together,health,services,father,1,2,3,yes,no,3,3,2,1,3,0,0
F,15,1,2,living.together,at_home,other,mother,1,2,0,yes,no,4,3,2,1,5,2,11
M,16,4,4,living.together,teacher,teacher,mother,1,1,0,yes,yes,3,3,2,1,5,0,0
M,15,2,1,living.apart,services,other,mother,4,1,3,yes,no,4,5,5,5,5,0,10
M,18,1,1,living.together,other,other,mother,1,1,3,yes,yes,2,3,5,5,4,0,0
M,16,2,1,living.together,at_home,other,mother,1,1,1,no,yes,4,4,4,5,5,6,14
F,15,3,3,living.together,services,services,other,2,3,2,yes,yes,4,2,1,3,3,8,10
M,19,3,2,living.together,services,at_home,mother,1,1,3,yes,yes,4,5,4,1,4,0,0
F,17,4,4,living.together,other,teacher,mother,1,1,0,no,yes,4,2,1,1,4,0,12
M,15,2,3,living.together,at_home,services,mother,1,2,0,no,no,4,4,4,1,1,2,8
M,17,1,2,living.together,other,other,mother,1,1,0,no,no,2,2,2,3,5,8,13
F,18,1,1,living.together,at_home,other,mother,3,1,3,no,no,5,2,5,5,4,6,10
M,16,2,2,living.together,at_home,other,mother,3,1,0,no,no,4,2,2,2,3,2,15
M,16,3,3,living.together,other,services,father,1,2,1,yes,yes,4,5,5,4,5,4,12
M,17,2,1,living.together,at_home,other,mother,2,1,2,yes,yes,3,3,2,2,5,0,0
M,15,3,2,living.together,other,other,mother,2,2,2,yes,yes,4,4,4,4,3,6,7
M,16,1,2,living.together,other,other,mother,2,1,1,no,no,4,4,4,4,5,0,0
M,17,1,3,living.together,at_home,services,father,1,1,0,yes,no,5,3,3,4,2,2,10
M,17,1,1,living.together,other,services,mother,4,2,3,no,yes,5,3,5,5,5,0,7
M,16,3,2,living.together,services,services,mother,2,1,1,no,no,4,5,2,1,2,16,12
M,16,2,2,living.together,other,other,father,1,2,0,yes,no,4,3,5,4,4,4,10
F,16,4,2,living.together,health,services,father,1,2,0,yes,yes,4,2,3,1,3,0,16
F,16,2,2,living.together,other,other,mother,1,2,0,yes,no,5,1,5,1,4,0,0
F,16,4,4,living.together,health,health,mother,1,2,0,yes,yes,4,4,2,1,3,0,14
M,16,3,4,living.together,other,other,father,3,1,2,yes,no,3,4,5,4,2,0,0
M,16,1,0,living.together,other,other,mother,2,2,0,yes,yes,4,3,2,1,3,2,16
M,17,4,4,living.together,teacher,other,mother,1,2,0,yes,no,4,4,4,3,5,0,10
F,16,1,3,living.together,at_home,services,mother,1,2,3,yes,yes,4,3,5,1,3,0,0
F,16,3,3,living.together,other,other,mother,2,2,0,yes,no,4,4,5,1,4,4,9
M,17,4,3,living.together,teacher,other,mother,2,2,0,yes,no,4,4,4,4,4,4,9
F,16,2,2,living.together,services,other,mother,2,2,0,yes,no,3,4,4,4,5,2,11
M,17,3,3,living.together,other,other,father,1,2,0,yes,no,4,3,4,4,4,4,6
M,16,4,2,living.together,teacher,services,mother,1,1,0,yes,yes,4,3,3,4,3,10,9
M,17,4,3,living.together,other,other,mother,1,2,0,yes,yes,5,2,3,1,2,4,11
M,16,4,3,living.together,teacher,other,mother,1,2,0,yes,no,3,4,3,3,3,10,8
M,16,3,3,living.together,services,other,mother,1,2,0,yes,yes,4,2,3,2,3,2,12
F,17,2,4,living.together,services,services,father,1,2,0,no,no,5,4,2,3,5,0,17
F,17,3,3,living.together,other,other,mother,1,2,0,yes,yes,5,3,3,3,1,56,8
F,16,3,2,living.together,other,other,mother,1,2,0,yes,no,1,2,2,2,1,14,12
M,17,3,3,living.together,services,services,mother,1,2,0,yes,yes,4,3,4,3,4,12,11
M,16,1,2,living.together,services,services,mother,1,1,0,yes,yes,3,3,3,2,3,2,11
M,16,2,1,living.together,other,other,mother,1,2,0,yes,yes,4,2,3,2,5,0,15
F,17,3,3,living.apart,health,other,mother,1,2,0,yes,yes,3,3,3,3,3,6,9
M,17,1,2,living.together,at_home,other,mother,1,2,0,no,no,3,1,3,5,3,4,10
F,16,2,3,living.together,services,services,mother,1,2,0,yes,no,4,3,3,1,2,10,13
F,17,1,1,living.together,at_home,services,mother,1,2,0,yes,no,5,3,3,1,3,0,9
M,17,1,2,living.together,at_home,services,other,2,2,0,yes,no,4,4,4,5,5,12,8
M,16,3,3,living.together,services,services,mother,1,1,0,yes,no,4,3,2,4,5,8,10
M,16,2,3,living.together,other,other,father,2,1,0,yes,no,5,3,3,1,3,0,14
F,17,2,4,living.together,services,services,father,1,2,0,yes,yes,4,3,2,1,5,0,15
M,17,4,4,living.together,services,teacher,mother,1,1,0,yes,no,5,2,3,2,5,4,16
M,16,3,3,living.together,teacher,other,father,3,1,0,yes,no,3,3,4,5,3,8,10
F,17,4,4,living.together,services,teacher,mother,2,1,1,yes,no,4,2,4,3,2,24,18
F,16,4,4,living.together,teacher,teacher,mother,1,2,0,yes,no,4,5,2,2,3,0,10
F,16,4,3,living.together,health,other,mother,1,2,0,yes,no,4,3,5,5,2,2,16
F,16,2,3,living.together,other,other,mother,1,2,0,no,no,4,4,3,3,4,6,10
F,17,1,1,living.together,other,other,mother,1,2,0,no,no,4,4,4,3,1,4,10
F,17,2,2,living.together,other,other,mother,1,1,0,yes,no,5,3,2,2,3,18,6
F,16,2,2,living.together,services,services,mother,2,4,0,yes,no,5,3,5,1,5,6,11
F,17,3,4,living.together,at_home,services,mother,1,3,1,yes,yes,4,4,3,4,5,28,9
F,16,3,1,living.apart,services,other,mother,1,2,3,yes,no,2,3,3,2,4,5,7
F,16,4,3,living.together,teacher,other,mother,1,2,0,yes,yes,1,3,2,1,1,10,13
F,16,1,1,living.together,at_home,other,mother,2,1,0,no,no,4,3,2,4,5,6,10
F,17,4,3,living.together,teacher,other,mother,2,3,0,yes,yes,4,4,2,1,4,6,7
F,19,3,3,living.together,other,other,other,1,4,0,yes,no,4,3,3,2,3,10,8
M,17,4,4,living.together,services,other,mother,1,2,0,yes,yes,5,3,5,5,3,13,13
F,16,2,2,living.apart,other,other,mother,1,2,0,yes,no,3,3,4,1,4,0,14
M,18,2,2,living.together,services,other,mother,1,2,1,yes,no,4,4,4,4,5,15,8
F,17,4,4,living.together,services,other,mother,1,1,0,no,no,5,2,1,2,3,12,10
F,17,3,2,living.together,other,other,mother,2,2,0,yes,no,4,4,4,3,1,2,15
F,17,4,3,living.together,other,other,mother,1,2,2,yes,yes,3,4,5,4,1,22,4
M,18,3,3,living.together,services,health,father,1,2,1,yes,no,3,2,4,4,4,13,8
F,17,2,3,living.together,at_home,other,father,2,1,0,no,no,3,3,3,4,3,3,8
F,17,2,2,living.together,at_home,at_home,mother,1,3,0,yes,no,4,3,3,1,4,4,10
F,17,2,1,living.together,at_home,services,mother,2,2,0,yes,no,4,2,5,2,5,2,6
F,17,1,1,living.together,at_home,other,mother,1,3,1,no,yes,4,3,4,1,5,0,0
F,16,2,3,living.together,services,teacher,mother,1,2,0,yes,no,2,3,1,1,3,2,17
M,18,2,2,living.together,other,other,mother,2,2,0,yes,no,3,3,3,5,4,0,13
F,16,4,4,living.together,teacher,services,mother,1,3,0,yes,no,5,3,2,1,5,0,14
F,18,3,1,living.together,other,other,mother,1,2,1,yes,yes,5,3,3,1,4,16,7
F,17,3,2,living.together,other,other,mother,1,2,0,yes,no,5,3,4,3,3,10,15
M,17,2,3,living.together,services,services,father,1,2,0,yes,no,5,3,3,3,3,2,12
M,18,2,1,living.together,at_home,other,mother,4,2,0,yes,yes,4,3,2,5,3,14,9
F,17,2,1,living.apart,other,other,mother,2,3,0,yes,yes,3,2,3,2,3,10,12
F,17,4,3,living.together,health,other,father,1,2,0,yes,yes,3,2,3,2,3,14,14
M,17,2,2,living.together,other,other,father,2,2,0,yes,no,4,5,2,1,1,4,11
M,17,4,4,living.together,teacher,teacher,mother,1,2,0,yes,yes,4,5,5,3,2,14,9
M,16,4,4,living.together,health,other,father,1,2,0,yes,no,4,2,4,4,1,2,13
M,16,1,1,living.together,other,other,mother,2,2,0,yes,no,3,4,2,1,5,18,6
M,16,3,2,living.together,at_home,other,mother,2,3,0,yes,yes,5,3,3,3,2,10,10
M,17,2,2,living.together,other,other,father,1,2,0,yes,yes,4,4,2,5,4,4,13
F,16,2,1,living.together,other,other,mother,1,1,0,yes,yes,4,5,2,1,5,20,12
F,17,2,1,living.together,at_home,services,mother,3,2,0,no,no,2,1,1,1,3,2,11
M,18,2,2,living.together,other,services,father,1,2,1,yes,no,5,5,4,5,2,0,0
M,17,4,3,living.together,health,other,mother,2,2,0,yes,yes,2,5,5,4,5,14,12
M,17,4,4,living.apart,teacher,other,mother,2,2,0,yes,no,3,3,3,3,4,2,12
M,16,4,3,living.together,teacher,other,mother,1,1,0,yes,no,5,4,5,1,3,0,0
M,16,4,4,living.together,services,services,mother,1,1,0,yes,no,5,3,2,2,5,0,12
F,18,2,1,living.together,other,other,other,2,3,0,yes,yes,4,4,4,1,3,0,0
M,16,2,1,living.together,other,other,mother,3,1,0,yes,no,4,3,3,1,4,6,18
M,17,2,3,living.together,other,other,father,2,1,0,yes,no,5,2,2,1,2,4,13
M,22,3,1,living.together,services,services,mother,1,1,3,yes,yes,5,4,5,5,1,16,8
M,18,3,3,living.together,other,services,mother,1,2,1,yes,yes,4,3,3,3,5,8,5
M,16,0,2,living.together,other,other,mother,1,1,0,yes,no,4,3,2,4,5,0,15
M,18,3,2,living.together,services,other,mother,2,1,1,yes,no,4,4,5,4,5,0,8
M,16,3,3,living.together,at_home,other,other,3,2,0,yes,no,5,3,3,3,2,6,10
M,18,2,1,living.together,services,services,mother,1,1,1,yes,no,3,2,5,5,5,4,8
M,16,2,1,living.together,other,other,mother,2,1,0,no,no,3,3,2,3,3,0,8
M,17,2,1,living.together,other,other,mother,1,1,0,yes,no,4,4,2,4,5,0,12
M,17,1,1,living.together,health,other,mother,2,1,1,yes,no,4,4,4,2,5,2,8
F,17,4,2,living.together,teacher,services,mother,1,4,0,yes,no,4,2,3,1,4,6,13
M,19,4,3,living.apart,services,at_home,mother,1,2,0,yes,no,4,3,1,1,1,12,11
M,18,2,1,living.together,other,other,mother,1,2,0,yes,no,5,2,4,2,4,8,14
F,17,2,2,living.together,services,services,father,1,4,0,yes,yes,3,4,1,1,2,0,0
F,18,4,3,living.together,services,other,father,1,2,0,yes,yes,3,1,2,3,2,21,18
M,18,4,3,living.together,teacher,other,mother,1,2,0,yes,no,4,3,2,1,3,2,8
M,18,3,2,living.together,other,other,mother,1,3,0,no,no,5,3,2,1,3,1,12
F,17,3,3,living.together,other,other,mother,1,3,0,no,no,3,2,3,1,4,4,9
F,18,2,2,living.together,at_home,services,mother,1,3,0,yes,yes,4,3,3,1,3,0,0
M,18,3,4,living.apart,other,other,mother,2,2,0,yes,no,4,2,5,4,1,13,17
M,17,3,1,living.together,services,other,mother,1,2,0,yes,yes,5,4,4,4,5,2,10
F,18,4,4,living.together,teacher,other,mother,2,2,0,yes,no,4,3,4,2,4,8,11
M,18,4,2,living.together,health,other,father,1,2,0,yes,yes,5,4,5,3,5,10,10
F,18,2,1,living.together,other,other,mother,2,2,0,yes,yes,4,3,5,2,3,0,0
F,19,3,3,living.together,other,services,other,1,2,2,yes,no,4,3,5,3,5,15,9
F,18,2,3,living.together,other,services,father,1,4,0,yes,yes,4,5,5,3,2,4,14
F,18,1,1,living.together,other,other,mother,2,2,0,no,no,4,4,3,1,3,2,11
M,17,1,2,living.together,at_home,at_home,mother,1,2,0,no,yes,3,5,2,2,1,2,14
F,17,2,4,living.together,at_home,health,mother,2,2,0,yes,yes,4,3,3,1,1,2,10
F,17,2,2,living.together,services,other,mother,2,2,0,yes,yes,4,4,4,3,5,6,12
F,18,3,2,living.apart,other,services,mother,2,2,0,yes,yes,4,1,1,1,5,75,9
M,18,4,4,living.together,teacher,services,mother,2,1,0,yes,no,3,2,4,4,3,22,9
F,18,4,4,living.together,health,health,father,1,2,1,yes,yes,2,4,4,1,4,15,8
M,18,4,3,living.together,teacher,services,mother,2,1,0,yes,no,4,2,3,2,1,8,10
M,17,4,1,living.apart,services,other,mother,2,1,0,yes,yes,4,5,4,4,5,30,8
M,17,3,2,living.apart,teacher,services,mother,1,1,1,yes,no,4,4,4,4,3,19,10
F,18,1,1,living.together,at_home,other,mother,2,4,0,no,no,5,2,2,1,3,1,12
F,18,1,1,living.together,other,other,mother,2,2,0,yes,no,5,4,4,1,4,4,10
F,17,2,2,living.together,other,other,mother,1,2,0,yes,no,5,4,5,2,5,4,11
M,17,1,1,living.together,other,other,father,1,2,0,yes,no,4,3,3,2,4,2,11
F,18,2,2,living.together,at_home,at_home,mother,1,3,0,yes,no,4,3,3,2,2,5,19
F,17,1,1,living.together,services,teacher,mother,1,3,0,yes,no,4,3,3,1,3,6,12
M,18,2,1,living.together,services,services,mother,1,3,0,yes,no,4,2,4,3,2,6,14
M,18,4,4,living.apart,teacher,teacher,mother,1,2,0,yes,no,5,4,3,1,2,9,15
M,18,4,2,living.together,teacher,other,mother,1,2,0,yes,yes,4,3,2,4,5,11,11
F,17,4,3,living.together,health,services,mother,1,3,0,yes,no,4,2,2,2,3,0,15
F,18,2,1,living.together,services,at_home,mother,1,2,1,yes,yes,5,4,3,1,5,12,13
F,17,3,1,living.together,services,other,mother,2,4,0,no,no,3,1,2,1,3,6,18
M,18,3,2,living.together,services,other,mother,2,3,0,yes,no,5,4,2,1,4,8,14
M,17,3,3,living.together,health,other,mother,1,1,0,yes,no,4,4,3,3,5,4,11
F,19,4,4,living.together,health,other,other,2,2,0,yes,no,2,3,4,3,2,0,0
F,18,4,3,living.together,other,other,other,2,2,0,yes,yes,4,4,5,2,2,10,8
F,18,4,3,living.together,other,other,father,1,4,0,yes,no,4,3,3,1,3,0,14
M,18,4,4,living.together,teacher,teacher,mother,1,1,0,yes,yes,1,4,2,2,1,5,16
F,18,4,4,living.apart,health,other,mother,1,2,0,yes,yes,4,2,4,1,4,14,11
M,17,4,4,living.together,other,teacher,father,2,1,0,yes,no,4,1,1,2,5,0,10
F,17,4,2,living.together,other,other,mother,2,3,0,yes,no,4,3,3,1,3,0,14
F,17,3,2,living.together,health,health,father,1,4,0,yes,no,5,2,2,2,5,0,18
M,19,3,3,living.together,other,other,other,1,2,1,yes,yes,4,4,4,1,3,20,13
F,18,2,4,living.together,services,at_home,other,1,2,1,yes,no,4,4,3,1,3,8,12
M,20,3,2,living.apart,services,other,other,1,1,0,no,no,5,5,3,1,5,0,18
M,19,4,4,living.together,teacher,services,other,2,1,1,yes,yes,4,3,4,1,4,38,8
