"Date","Rental.Count","Temperature.C.","Humidity.percent.","Wind.speed..m.s.","Visibility..10m.","Dew.point.temperature.C.","Solar.Radiation..MJ.m2.","Rainfall.mm.","Snowfall..cm.","Seasons","Holiday","Functioning.Day"
"26/01/2023",691,-5.3,82,2.5,1459,-7.8,0.84,0,3.7,"Winter","No Holiday","Yes"
"27/01/2023",1762,-6.4,44,5.7,2000,-16.6,2.12,0,0.5,"Winter","No Holiday","Yes"
"28/01/2023",2293,-3.9,45,2.1,2000,-14.1,1.48,0,0,"Winter","No Holiday","Yes"
"29/01/2023",2427,-0.1,52,2.3,2000,-8.7,1.51,0,0,"Winter","No Holiday","Yes"
"30/01/2023",2723,1.1,39,3.3,2000,-11.3,2.08,0,0,"Winter","No Holiday","Yes"
"31/01/2023",2972,2.4,55,2.8,2000,-5.7,0.54,0,0,"Winter","No Holiday","Yes"
"01/02/2023",3213,3.2,50,5.4,2000,-6.2,1.96,0,0,"Winter","No Holiday","Yes"
"02/02/2023",2905,-0.6,45,2.9,2000,-11,1.72,0,0,"Winter","No Holiday","Yes"
"03/02/2023",3163,0.1,42,3.3,2000,-11.3,1.9,0,0,"Winter","No Holiday","Yes"
"04/02/2023",3701,2.6,50,2.9,2000,-6.8,2,0,0,"Winter","No Holiday","Yes"
"05/02/2023",3281,4.7,62,1.4,986,-1.9,1.88,0,0,"Winter","No Holiday","Yes"
"06/02/2023",3432,6.2,65,2.2,836,0,1.86,0,0,"Winter","No Holiday","Yes"
"07/02/2023",3603,6.3,64,1.6,764,0,1.3,0,0,"Winter","No Holiday","Yes"
"08/02/2023",3698,4.2,47,3,1894,-6.1,2.21,0,0,"Winter","No Holiday","Yes"
"09/02/2023",3717,6.2,36,3.7,2000,-7.8,1.91,0,0,"Winter","No Holiday","Yes"
"10/02/2023",3311,5.8,78,2.7,1664,2.2,1.34,0,0,"Winter","No Holiday","Yes"
"11/02/2023",4338,4.8,64,1.2,1479,-1.4,1.4,0,0,"Winter","No Holiday","Yes"
"12/02/2023",3580,5.1,67,1.8,756,-0.5,1.36,0,0,"Winter","No Holiday","Yes"
"13/02/2023",3779,7.9,59,2.1,2000,0.3,1.05,0,0,"Winter","No Holiday","Yes"
"14/02/2023",3936,3.7,47,2.4,2000,-6.5,2.27,0,0,"Winter","No Holiday","Yes"
"15/02/2023",4031,6.1,42,2.6,2000,-5.8,2.25,0,0,"Winter","No Holiday","Yes"
"16/02/2023",3428,3,71,3.6,1489,-1.7,0.8,0,0,"Winter","No Holiday","Yes"
"17/02/2023",4292,6.3,56,2.1,1867,-1.8,2.14,0,0,"Winter","No Holiday","Yes"
"18/02/2023",4468,6.6,53,1.6,939,-2.3,0.46,0,0,"Winter","No Holiday","Yes"
"19/02/2023",3646,5.3,56,4.3,1327,-2.7,2.15,0,0,"Winter","No Holiday","Yes"
"20/02/2023",3229,1.3,32,5.8,2000,-13.6,2.53,0,0,"Winter","No Holiday","Yes"
"21/02/2023",3358,0.9,34,2.6,2000,-13.2,2.54,0,0,"Winter","No Holiday","Yes"
"22/02/2023",4002,4.9,35,1.5,2000,-9.3,2.4,0,0,"Winter","No Holiday","Yes"
"23/02/2023",4006,5.4,45,2.2,2000,-5.6,2.26,0,0,"Winter","No Holiday","Yes"
"24/02/2023",4205,6.5,46,3.7,1425,-4.3,2.4,0,0,"Winter","No Holiday","Yes"
"25/02/2023",4271,2.5,39,3.3,2000,-10,2.56,0,0,"Winter","No Holiday","Yes"
"26/02/2023",4214,5,31,2.1,2000,-10.7,2.61,0,0,"Winter","No Holiday","Yes"
"27/02/2023",4251,8.8,38,2.1,2000,-4.7,2.59,0,0,"Winter","No Holiday","Yes"
"28/02/2023",4341,5.3,68,2.9,1396,-0.1,0.79,0,0,"Winter","No Holiday","Yes"
"01/03/2023",4745,7.1,67,2.5,2000,1.3,0.63,0,0,"Spring","Holiday","Yes"
"02/03/2023",4157,4.3,25,2.4,2000,-14,2.64,0,0,"Spring","No Holiday","Yes"
"03/03/2023",4517,8,52,3.3,2000,-1.2,2.47,0,0,"Spring","No Holiday","Yes"
"04/03/2023",5944,10.4,56,0.8,870,1.9,2.16,0,0,"Spring","No Holiday","Yes"
"05/03/2023",5763,12.8,46,1.5,790,1.4,2.39,0,0,"Spring","No Holiday","Yes"
"06/03/2023",4719,13.6,26,2.5,2000,-5.5,2.63,0,0,"Spring","No Holiday","Yes"
"07/03/2023",4969,15.3,44,1.9,1919,3.1,2.42,0,0,"Spring","No Holiday","Yes"
"08/03/2023",5139,16.1,46,3.9,2000,4.4,1.51,0,0,"Spring","No Holiday","Yes"
"09/03/2023",4006,10,88,2.6,396,8,0.51,0.1,0,"Spring","No Holiday","Yes"
"10/03/2023",5679,16.7,48,2.4,1035,5.6,2.4,0,0,"Spring","No Holiday","Yes"
"11/03/2023",7327,20.6,29,3,1955,1.9,2.47,0,0,"Spring","No Holiday","Yes"
"12/03/2023",255,6.5,94,3.3,994,5.5,0.21,3.3,0,"Spring","No Holiday","Yes"
"13/03/2023",4215,5.1,27,3.4,2000,-12.4,2.86,0,0,"Spring","No Holiday","Yes"
"14/03/2023",4960,12.9,29,1.8,2000,-4.7,2.12,0,0,"Spring","No Holiday","Yes"
"15/03/2023",5097,13.7,65,5.7,2000,7.2,0.6,0,0,"Spring","No Holiday","Yes"
"16/03/2023",4997,7.5,21,4.3,2000,-13.4,2.97,0,0,"Spring","No Holiday","Yes"
"17/03/2023",5339,10.2,26,2,2000,-8.4,2.23,0,0,"Spring","No Holiday","Yes"
"18/03/2023",7175,10.6,31,2.2,2000,-5.8,1.65,0,0,"Spring","No Holiday","Yes"
"19/03/2023",6947,12,45,2.9,1225,0.4,2.85,0,0,"Spring","No Holiday","Yes"
"20/03/2023",5171,14,36,2.9,1015,-0.8,2.42,0,0,"Spring","No Holiday","Yes"
"21/03/2023",5790,16.7,24,2.2,1968,-4,2.88,0,0,"Spring","No Holiday","Yes"
"22/03/2023",6146,21.3,29,2.3,1323,2.5,2.8,0,0,"Spring","No Holiday","Yes"
"23/03/2023",5866,19.1,56,2.5,2000,10.1,1.51,0,0,"Spring","No Holiday","Yes"
"24/03/2023",6199,14.5,28,2.7,1147,-3.8,2.17,0,0,"Spring","No Holiday","Yes"
"25/03/2023",8308,14.9,55,1.9,1647,5.9,1.26,0,0,"Spring","No Holiday","Yes"
"26/03/2023",8009,12.7,19,4.2,2000,-10.3,3.2,0,0,"Spring","No Holiday","Yes"
"27/03/2023",5823,11.3,27,3.2,2000,-7,3.07,0,0,"Spring","No Holiday","Yes"
"28/03/2023",5982,12.9,31,3.2,2000,-3.8,2.09,0,0,"Spring","No Holiday","Yes"
"29/03/2023",6505,16.6,38,1.1,1127,2.2,2.9,0,0,"Spring","No Holiday","Yes"
"30/03/2023",6921,18.7,32,3,1217,1.6,3.03,0,0,"Spring","No Holiday","Yes"
"31/03/2023",7318,20.3,29,3.1,1077,1.6,2.98,0,0,"Spring","No Holiday","Yes"
"01/04/2023",9418,22.3,27,2.3,1506,2.3,2.93,0,0,"Spring","No Holiday","Yes"
"02/04/2023",9766,22.5,18,2.8,2000,-3,3.16,0,0,"Spring","No Holiday","Yes"
"03/04/2023",6862,22.4,21,2.7,2000,-1,3.07,0,0,"Spring","No Holiday","Yes"
"04/04/2023",6749,21.1,19,2,2000,-3.4,1.77,0,0,"Spring","No Holiday","Yes"
"05/04/2023",84,14.4,100,2.3,189,14.4,0.21,4,0,"Spring","No Holiday","Yes"
"06/04/2023",2300,9.4,94,3,442,8.4,0.23,0,0,"Spring","No Holiday","Yes"
"07/04/2023",6566,13.6,60,2.6,1565,5.9,3.02,0,0,"Spring","No Holiday","Yes"
"08/04/2023",8422,12.1,27,6.6,2000,-6.3,3.28,0,0,"Spring","No Holiday","Yes"
"09/04/2023",8075,15.1,46,3.6,2000,3.5,3.22,0,0,"Spring","No Holiday","Yes"
"10/04/2023",6383,16.7,35,2.6,2000,1.1,2.49,0,0,"Spring","No Holiday","Yes"
"11/04/2023",2259,15.7,82,6.3,2000,12.6,0.08,0.2,0,"Spring","No Holiday","Yes"
"12/04/2023",5583,14.3,25,3.8,1599,-5.4,3.19,0,0,"Spring","No Holiday","Yes"
"13/04/2023",5535,14.9,29,2.1,1822,-3,1.69,0,0,"Spring","No Holiday","Yes"
"14/04/2023",6630,18.9,54,3,2000,9.3,2.33,0,0,"Spring","No Holiday","Yes"
"15/04/2023",1533,14.1,95,2.1,565,13.3,0.57,1.8,0,"Spring","No Holiday","Yes"
"16/04/2023",6543,13.1,63,3.3,1182,6.2,2.03,0,0,"Spring","No Holiday","Yes"
"17/04/2023",6310,15.3,47,3.6,2000,4,2.2,0,0,"Spring","No Holiday","Yes"
"18/04/2023",2032,11.5,97,3.6,330,11,0.43,0,0,"Spring","No Holiday","Yes"
"19/04/2023",7273,22,48,2.8,2000,10.4,3.49,0,0,"Spring","No Holiday","Yes"
"20/04/2023",5949,17,87,2.8,2000,14.8,0.47,0,0,"Spring","No Holiday","Yes"
"21/04/2023",7357,19.2,51,2,2000,8.8,2.37,0,0,"Spring","No Holiday","Yes"
"22/04/2023",8796,19,18,4,2000,-5.8,2.35,0,0,"Spring","No Holiday","Yes"
"23/04/2023",8185,19.8,26,2.4,2000,-0.2,2.79,0,0,"Spring","No Holiday","Yes"
"24/04/2023",6698,19.6,36,3.1,2000,4.1,2.52,0,0,"Spring","No Holiday","Yes"
"25/04/2023",1077,11.9,65,3.7,2000,5.5,0.69,0,0,"Spring","No Holiday","Yes"
"26/04/2023",5624,9.8,65,4.2,2000,3.5,1.03,0,0,"Spring","No Holiday","Yes"
"27/04/2023",7159,16.6,48,2.4,1949,5.5,3.26,0,0,"Spring","No Holiday","Yes"
"28/04/2023",7928,19.8,36,3.2,2000,4.2,3.28,0,0,"Spring","No Holiday","Yes"
"29/04/2023",328,13.5,98,2.2,696,13.1,0.19,2.7,0,"Spring","No Holiday","Yes"
"30/04/2023",7931,15.4,52,2.5,2000,5.5,2.61,0,0,"Spring","No Holiday","Yes"
"01/05/2023",9403,17.7,36,3.9,2000,2.4,3.45,0,0,"Spring","No Holiday","Yes"
"02/05/2023",7083,20.8,32,2.3,2000,3.4,2.48,0,0,"Spring","No Holiday","Yes"
"03/05/2023",7632,23.3,32,1.4,2000,5.6,3.35,0,0,"Spring","No Holiday","Yes"
"04/05/2023",7588,23.3,58,2.7,2000,14.5,2.35,0,0,"Spring","No Holiday","Yes"
"05/05/2023",1091,19.6,95,1.1,1861,18.7,0.22,0,0,"Spring","Holiday","Yes"
"06/05/2023",120,11.9,100,4.9,1028,11.8,0.57,3.7,0,"Spring","No Holiday","Yes"
"07/05/2023",6553,16.4,43,2.4,2000,3.7,1.38,0,0,"Spring","No Holiday","Yes"
"08/05/2023",6807,20.3,39,2.9,2000,5.8,3.44,0,0,"Spring","No Holiday","Yes"
"09/05/2023",6896,21.3,45,2.9,1575,8.8,3.44,0,0,"Spring","No Holiday","Yes"
"10/05/2023",7052,22.7,38,1.4,1794,7.6,2.78,0,0,"Spring","No Holiday","Yes"
"11/05/2023",7043,24.3,42,1.7,2000,10.5,3.37,0,0,"Spring","No Holiday","Yes"
"12/05/2023",7788,21.3,37,1.7,1708,6,2.07,0,0,"Spring","No Holiday","Yes"
"13/05/2023",9147,22.2,44,2.4,1893,9.3,3.39,0,0,"Spring","No Holiday","Yes"
"14/05/2023",8803,22,42,2.6,2000,8.4,2.81,0,0,"Spring","No Holiday","Yes"
"15/05/2023",7032,25.1,38,2.5,2000,9.7,3.35,0,0,"Spring","No Holiday","Yes"
"16/05/2023",6626,28,44,3.5,1869,14.6,3.31,0,0,"Spring","No Holiday","Yes"
"17/05/2023",6658,27.9,35,4.9,2000,11,3.12,0,0,"Spring","No Holiday","Yes"
"18/05/2023",6634,25.5,60,2.4,2000,17.1,2.2,0,0,"Spring","No Holiday","Yes"
"19/05/2023",7516,25.6,49,2.7,2000,14,3.19,0,0,"Spring","No Holiday","Yes"
"20/05/2023",8896,26.7,54,3.1,2000,16.6,2.88,0,0,"Spring","No Holiday","Yes"
"21/05/2023",8314,20.2,60,3.1,1900,12.1,2.99,0,0,"Spring","No Holiday","Yes"
"22/05/2023",6890,23.5,46,2.4,1794,11.2,3.25,0,0,"Spring","No Holiday","Yes"
"23/05/2023",7120,23.9,34,2.3,2000,7.1,3.48,0,0,"Spring","No Holiday","Yes"
"24/05/2023",7175,24.7,41,2.6,2000,10.5,2.62,0,0,"Spring","No Holiday","Yes"
"25/05/2023",7069,25.3,31,2.7,2000,6.9,3.48,0,0,"Spring","No Holiday","Yes"
"26/05/2023",7609,24.5,43,2.2,2000,11,3.22,0,0,"Spring","No Holiday","Yes"
"27/05/2023",222,19.7,92,1.3,224,18.3,0.36,3,0,"Spring","Holiday","Yes"
"28/05/2023",174,19.8,98,0.6,265,19.4,0.21,1.6,0,"Spring","No Holiday","Yes"
"29/05/2023",7421,24.5,80,2,2000,20.8,1.46,0,0,"Spring","Holiday","Yes"
"30/05/2023",6334,26.6,57,3.2,2000,17.3,2.26,0,0,"Spring","No Holiday","Yes"
"31/05/2023",6677,25.6,47,3.2,2000,13.4,3.41,0,0,"Spring","No Holiday","Yes"
"01/06/2023",7075,25.3,61,2.4,2000,17.2,2.32,0,0,"Summer","No Holiday","Yes"
"02/06/2023",7627,19.8,82,2.7,1428,16.6,0.62,0,0,"Summer","No Holiday","Yes"
"03/06/2023",8609,25.8,39,4.2,2000,10.7,3.56,0,0,"Summer","No Holiday","Yes"
"04/06/2023",7611,26,52,3,2000,15.3,3.45,0,0,"Summer","No Holiday","Yes"
"05/06/2023",7758,23.9,61,3.6,2000,15.9,3.02,0,0,"Summer","No Holiday","Yes"
"06/06/2023",9047,23.2,59,2.5,2000,14.7,2.23,0,0,"Summer","Holiday","Yes"
"07/06/2023",6967,21.4,77,2.4,1338,17.1,0.83,0,0,"Summer","No Holiday","Yes"
"08/06/2023",6315,21.5,73,3.9,2000,16.4,0.51,0,0,"Summer","No Holiday","Yes"
"09/06/2023",7380,25.3,52,2.4,2000,14.7,3.54,0,0,"Summer","No Holiday","Yes"
"10/06/2023",8817,27.5,53,2.6,2000,17,2.89,0,0,"Summer","No Holiday","Yes"
"11/06/2023",6124,24.8,66,1.4,2000,18,2.99,0,0,"Summer","No Holiday","Yes"
"12/06/2023",6811,26.1,55,1.9,2000,16.3,2.49,0,0,"Summer","No Holiday","Yes"
"13/06/2023",6996,24.9,62,3.1,2000,17.1,2.55,0,0,"Summer","No Holiday","Yes"
"14/06/2023",6937,23.9,60,1.9,1791,15.6,1.85,0,0,"Summer","No Holiday","Yes"
"15/06/2023",7046,25.3,64,2.1,1964,17.9,3.43,0,0,"Summer","No Holiday","Yes"
"16/06/2023",7221,26.8,48,3,2000,14.8,3.4,0,0,"Summer","No Holiday","Yes"
"17/06/2023",8125,28,44,2.5,2000,14.6,3.39,0,0,"Summer","No Holiday","Yes"
"18/06/2023",6563,28.9,46,2.3,2000,16.1,3.43,0,0,"Summer","No Holiday","Yes"
"19/06/2023",5649,31.9,48,1.7,2000,19.5,3.04,0,0,"Summer","No Holiday","Yes"
"20/06/2023",4017,25.9,55,2.6,2000,16.1,0.51,0,0,"Summer","No Holiday","Yes"
"21/06/2023",1729,20.6,94,1.9,1475,19.5,0.36,0,0,"Summer","No Holiday","Yes"
"22/06/2023",7071,24.8,65,3.6,2000,17.7,2.55,0,0,"Summer","No Holiday","Yes"
"23/06/2023",7151,25.5,71,1.1,1931,19.8,1.95,0,0,"Summer","No Holiday","Yes"
"24/06/2023",7921,29.1,62,2,1952,21,2.81,0,0,"Summer","No Holiday","Yes"
"25/06/2023",6151,31.2,57,2,2000,21.6,3.29,0,0,"Summer","No Holiday","Yes"
"26/06/2023",4413,24.5,87,3.3,1994,22.1,0.36,0,0,"Summer","No Holiday","Yes"
"27/06/2023",6474,26.6,68,3.9,2000,20.2,2.41,0,0,"Summer","No Holiday","Yes"
"28/06/2023",6662,28.4,66,2.8,2000,21.4,2.63,0,0,"Summer","No Holiday","Yes"
"29/06/2023",251,23.6,97,1.6,1759,23,0.31,23.8,0,"Summer","No Holiday","Yes"
"30/06/2023",5227,25.1,92,2.2,796,23.7,0.24,0.1,0,"Summer","No Holiday","Yes"
"01/07/2023",6652,31,66,2.3,2000,23.8,3.32,0,0,"Summer","No Holiday","Yes"
"02/07/2023",6070,28,74,2.9,2000,22.9,1.65,0,0,"Summer","No Holiday","Yes"
"03/07/2023",5760,31.1,64,1,2000,23.4,2.08,0,0,"Summer","No Holiday","Yes"
"04/07/2023",5905,28.7,73,3.5,1697,23.3,0.7,0,0,"Summer","No Holiday","Yes"
"05/07/2023",6481,26.2,74,3.4,2000,21.1,3.12,0,0,"Summer","No Holiday","Yes"
"06/07/2023",6328,30,63,3.4,2000,22.1,3.35,0,0,"Summer","No Holiday","Yes"
"07/07/2023",6503,30.6,52,2.2,2000,19.6,3.28,0,0,"Summer","No Holiday","Yes"
"08/07/2023",8075,26,75,2.2,2000,21.2,1.06,0,0,"Summer","No Holiday","Yes"
"09/07/2023",368,22,97,2.2,79,21.4,0.19,10.2,0,"Summer","No Holiday","Yes"
"10/07/2023",5706,27.2,81,2.7,1734,23.6,1.52,0,0,"Summer","No Holiday","Yes"
"11/07/2023",1863,23.8,95,2.6,2000,22.9,0.14,0.7,0,"Summer","No Holiday","Yes"
"12/07/2023",6091,26.9,84,1.9,1786,23.9,1.29,0,0,"Summer","No Holiday","Yes"
"13/07/2023",158,24.8,96,2,206,24.1,0.2,12.7,0,"Summer","No Holiday","Yes"
"14/07/2023",300,25,99,3.5,412,24.8,0.18,1.3,0,"Summer","No Holiday","Yes"
"15/07/2023",5411,25.5,89,2.8,2000,23.5,0.84,0,0,"Summer","No Holiday","Yes"
"16/07/2023",1857,25.3,92,2.1,1038,23.8,0.6,0,0,"Summer","No Holiday","Yes"
"17/07/2023",5620,26.6,81,3.7,1987,23,0.94,0,0,"Summer","No Holiday","Yes"
"18/07/2023",947,25.3,94,2,1942,24.2,0.56,0.7,0,"Summer","No Holiday","Yes"
"19/07/2023",5992,29.8,73,0.8,2000,24.4,2.87,0,0,"Summer","No Holiday","Yes"
"20/07/2023",5678,30.3,69,2,1152,23.9,2.9,0,0,"Summer","No Holiday","Yes"
"21/07/2023",5799,32,58,1.8,1459,22.6,3.26,0,0,"Summer","No Holiday","Yes"
"22/07/2023",6432,31.5,56,3.6,2000,21.6,3.37,0,0,"Summer","No Holiday","Yes"
"23/07/2023",423,25.2,98,2.6,1831,24.8,0.29,2.4,0,"Summer","No Holiday","Yes"
"24/07/2023",5988,27.7,81,1.7,2000,24.1,1.38,0,0,"Summer","No Holiday","Yes"
"25/07/2023",5852,30.1,72,3.9,2000,24.4,2.57,0,0,"Summer","No Holiday","Yes"
"26/07/2023",5033,30.2,71,4.3,2000,24.3,2.59,0,0,"Summer","No Holiday","Yes"
"27/07/2023",5772,31.1,70,1.7,2000,24.9,3,0,0,"Summer","No Holiday","Yes"
"28/07/2023",5359,32.3,64,2.3,2000,24.6,2.54,0,0,"Summer","No Holiday","Yes"
"29/07/2023",5574,31.8,65,2.3,2000,24.3,1.74,0,0,"Summer","No Holiday","Yes"
"30/07/2023",4607,33,54,2.3,2000,22.4,3.1,0,0,"Summer","No Holiday","Yes"
"31/07/2023",5100,31.1,67,3.1,2000,24.2,2.99,0,0,"Summer","No Holiday","Yes"
"01/08/2023",5006,32.2,63,1.7,2000,24.2,2.86,0,0,"Summer","No Holiday","Yes"
"02/08/2023",5211,32.4,62,2.7,2000,24.1,2.43,0,0,"Summer","No Holiday","Yes"
"03/08/2023",4948,31.7,61,2.2,2000,23.2,2.59,0,0,"Summer","No Holiday","Yes"
"04/08/2023",5172,31.9,63,2.5,2000,23.9,2.18,0,0,"Summer","No Holiday","Yes"
"05/08/2023",5094,32.6,59,1.6,2000,23.5,3.25,0,0,"Summer","No Holiday","Yes"
"06/08/2023",4587,32.4,68,2.6,2000,25.7,1.3,0,0,"Summer","No Holiday","Yes"
"07/08/2023",4905,32.6,62,2.3,2000,24.3,2.17,0,0,"Summer","No Holiday","Yes"
"08/08/2023",4854,33.3,55,2.4,2000,23,2.93,0,0,"Summer","No Holiday","Yes"
"09/08/2023",5720,30.9,59,3.4,2000,21.9,1.78,0,0,"Summer","No Holiday","Yes"
"10/08/2023",122,22.3,93,4.5,403,21.1,0.29,5.9,0,"Summer","No Holiday","Yes"
"11/08/2023",573,22.8,96,2.1,424,22.1,0.19,10.6,0,"Summer","No Holiday","Yes"
"12/08/2023",6126,23.4,85,1.6,2000,20.7,0.43,0,0,"Summer","No Holiday","Yes"
"13/08/2023",5533,28.6,71,2,2000,22.8,2.13,0,0,"Summer","No Holiday","Yes"
"14/08/2023",5648,30.3,72,1.3,1594,24.6,2.03,0,0,"Summer","No Holiday","Yes"
"15/08/2023",5693,30.8,60,1.7,2000,22.1,2.75,0,0,"Summer","Holiday","Yes"
"16/08/2023",5345,29.8,63,1.7,2000,21.9,2.68,0,0,"Summer","No Holiday","Yes"
"17/08/2023",5339,31,63,2.4,2000,23.1,3.06,0,0,"Summer","No Holiday","Yes"
"18/08/2023",5533,32.6,58,1.6,2000,23.2,3.01,0,0,"Summer","No Holiday","Yes"
"19/08/2023",6463,31.8,60,1.5,2000,23,2.96,0,0,"Summer","No Holiday","Yes"
"20/08/2023",5928,29.9,66,2,2000,22.8,2.31,0,0,"Summer","No Holiday","Yes"
"21/08/2023",5251,32.3,58,2.8,2000,22.9,2.75,0,0,"Summer","No Holiday","Yes"
"22/08/2023",4506,29.6,72,4.1,2000,24,1.67,0,0,"Summer","No Holiday","Yes"
"23/08/2023",259,25.3,94,3.3,250,24.2,0.28,5.2,0,"Summer","No Holiday","Yes"
"24/08/2023",5210,25.3,82,3.3,2000,21.9,0.64,0,0,"Summer","No Holiday","Yes"
"25/08/2023",6109,28.3,69,4.5,2000,22,2.24,0,0,"Summer","No Holiday","Yes"
"26/08/2023",7390,27.7,63,1.4,2000,20,1.88,0,0,"Summer","No Holiday","Yes"
"27/08/2023",7061,27.6,69,2.4,2000,21.3,1.32,0,0,"Summer","No Holiday","Yes"
"28/08/2023",1400,21.3,92,4,1958,19.9,0.51,0.4,0,"Summer","No Holiday","Yes"
"29/08/2023",124,24.8,96,3.1,80,24.1,0.15,27,0,"Summer","No Holiday","Yes"
"30/08/2023",4579,24.2,79,1.1,2000,20.3,1.09,0,0,"Summer","No Holiday","Yes"
"31/08/2023",6262,25.7,72,1.1,2000,20.2,2.05,0,0,"Summer","No Holiday","Yes"
"01/09/2023",6698,27.4,55,3.6,2000,17.5,3.14,0,0,"Autumn","No Holiday","Yes"
"02/09/2023",8192,28.1,54,1.9,2000,17.9,3.26,0,0,"Autumn","No Holiday","Yes"
"03/09/2023",6925,26.6,77,2.5,2000,22.2,2.3,0,0,"Autumn","No Holiday","Yes"
"04/09/2023",6259,27.9,77,2,2000,23.4,0.91,0,0,"Autumn","No Holiday","Yes"
"05/09/2023",5858,30.7,61,1.7,2000,22.3,2.98,0,0,"Autumn","No Holiday","Yes"
"06/09/2023",5990,30.4,61,2.4,2000,22,2.9,0,0,"Autumn","No Holiday","Yes"
"07/09/2023",5848,29.1,45,2.9,2000,15.9,3.15,0,0,"Autumn","No Holiday","Yes"
"08/09/2023",6831,28.1,46,2,2000,15.3,3.1,0,0,"Autumn","No Holiday","Yes"
"09/09/2023",8062,28.9,57,2,2000,19.5,2.94,0,0,"Autumn","No Holiday","Yes"
"10/09/2023",7709,27.9,61,2.8,2000,19.6,1.55,0,0,"Autumn","No Holiday","Yes"
"11/09/2023",6464,27.2,64,2.3,2000,19.7,1.54,0,0,"Autumn","No Holiday","Yes"
"12/09/2023",6495,28.1,58,0.6,2000,19,1.4,0,0,"Autumn","No Holiday","Yes"
"13/09/2023",511,23.4,76,1.9,1242,18.9,0.39,0.5,0,"Autumn","No Holiday","Yes"
"14/09/2023",6923,27,61,2.9,2000,18.8,2.76,0,0,"Autumn","No Holiday","Yes"
"15/09/2023",2284,22.2,84,2.8,2000,19.3,0.59,0.1,0,"Autumn","No Holiday","Yes"
"16/09/2023",8795,25.4,81,1.6,2000,21.8,1.07,0,0,"Autumn","No Holiday","Yes"
"17/09/2023",7130,26.3,77,1.3,2000,21.9,1.51,0,0,"Autumn","No Holiday","Yes"
"18/09/2023",6537,28.6,66,3.3,2000,21.6,2.97,0,0,"Autumn","No Holiday","Yes"
"19/09/2023",7018,26.3,68,2.8,1589,19.9,1.51,0,0,"Autumn","No Holiday","Yes"
"20/09/2023",199,20.8,91,4.2,674,19.2,0.44,1.5,0,"Autumn","No Holiday","Yes"
"21/09/2023",7389,22.9,63,2.7,2000,15.4,2.41,0,0,"Autumn","No Holiday","Yes"
"22/09/2023",8069,23.1,59,1.2,2000,14.6,2.63,0,0,"Autumn","No Holiday","Yes"
"23/09/2023",9914,25.6,47,2,2000,13.4,2.57,0,0,"Autumn","No Holiday","Yes"
