"","Date","Rental.Count","Temperature.C.","Humidity.percent.","Wind.speed..m.s.","Visibility..10m.","Dew.point.temperature.C.","Solar.Radiation..MJ.m2.","Rainfall.mm.","Snowfall..cm.","Seasons","Holiday","Functioning.Day"
"211","29/06/2018",1168,26.1,67,2.2,758,19.4,2.15,0,0,"Summer","No Holiday","Yes"
"212","30/06/2018",858,25.2,94,2.8,166,24.1,0.39,6.4,0,"Summer","No Holiday","Yes"
"213","01/07/2018",9,21.1,97,1.2,653,20.5,0.17,7.5,0,"Summer","No Holiday","Yes"
"214","02/07/2018",218,22.4,97,1,945,21.8,0.46,0,0,"Summer","No Holiday","Yes"
"215","03/07/2018",944,30.1,64,1.2,2000,22.5,2.54,0,0,"Summer","No Holiday","Yes"
"216","04/07/2018",1021,30.5,58,2.5,1741,21.2,2.26,0,0,"Summer","No Holiday","Yes"
"217","05/07/2018",996,27,68,1.1,1744,20.5,1.2,0,0,"Summer","No Holiday","Yes"
"218","06/07/2018",1216,25.7,57,1.9,2000,16.5,2.32,0,0,"Summer","No Holiday","Yes"
"219","07/07/2018",1328,26.4,47,1.7,2000,14.1,3.26,0,0,"Summer","No Holiday","Yes"
"220","08/07/2018",1237,25,46,1.9,1943,12.5,2.93,0,0,"Summer","No Holiday","Yes"
"221","09/07/2018",71,20.7,83,0.6,1244,17.7,0.32,0,0,"Summer","No Holiday","Yes"
"222","10/07/2018",1035,24.1,80,0.8,2000,20.4,0.72,0,0,"Summer","No Holiday","Yes"
"223","11/07/2018",964,28.1,73,2.1,1326,22.7,0.87,0,0,"Summer","No Holiday","Yes"
"224","12/07/2018",991,27.4,80,2.7,1083,23.6,0.97,0,0,"Summer","No Holiday","Yes"
"225","13/07/2018",1013,28.3,68,1.9,1546,21.8,1.35,0,0,"Summer","No Holiday","Yes"
"226","14/07/2018",1039,30.2,58,2.3,1359,21,2.64,0,0,"Summer","No Holiday","Yes"
"227","15/07/2018",803,30.1,58,1.6,1491,20.9,2.15,0,0,"Summer","No Holiday","Yes"
"228","16/07/2018",719,32.4,49,2,1844,20.3,3.09,0,0,"Summer","No Holiday","Yes"
"229","17/07/2018",803,30.8,57,2.3,940,21.2,2.52,0,0,"Summer","No Holiday","Yes"
"230","18/07/2018",780,31.2,51,2,1101,19.8,2.96,0,0,"Summer","No Holiday","Yes"
"231","19/07/2018",828,31.7,42,2.6,1868,17.2,3.23,0,0,"Summer","No Holiday","Yes"
"232","20/07/2018",822,32.6,51,2.1,800,21.1,3.21,0,0,"Summer","No Holiday","Yes"
"233","21/07/2018",735,34.2,35,1.8,1528,16.5,3.14,0,0,"Summer","No Holiday","Yes"
"234","22/07/2018",560,35.5,39,1.9,1803,19.4,3.05,0,0,"Summer","No Holiday","Yes"
"235","23/07/2018",655,34.1,47,2.3,1862,21.1,2.94,0,0,"Summer","No Holiday","Yes"
"236","24/07/2018",671,34.5,50,1.4,1901,22.5,1.89,0,0,"Summer","No Holiday","Yes"
"237","25/07/2018",791,31.1,60,2.7,1331,22.4,1.02,0,0,"Summer","No Holiday","Yes"
"238","26/07/2018",600,32,57,1.6,1075,22.4,1.94,0,0,"Summer","No Holiday","Yes"
"239","27/07/2018",714,33.7,53,1.9,990,22.7,2.5,0,0,"Summer","No Holiday","Yes"
"240","28/07/2018",632,33.6,62,1.9,820,25.3,1.35,0,0,"Summer","No Holiday","Yes"
"241","29/07/2018",644,33.8,47,1.7,1962,20.9,1.92,0,0,"Summer","No Holiday","Yes"
"242","30/07/2018",663,33.6,48,1.6,2000,21,1.89,0,0,"Summer","No Holiday","Yes"
"243","31/07/2018",626,35.2,39,1.2,2000,19.1,2.86,0,0,"Summer","No Holiday","Yes"
"244","01/08/2018",569,36.8,39,1.3,1944,20.5,2.8,0,0,"Summer","No Holiday","Yes"
"245","02/08/2018",562,36.6,41,2,1866,21.2,2.58,0,0,"Summer","No Holiday","Yes"
"246","03/08/2018",585,36.8,41,2.1,1759,21.3,2.53,0,0,"Summer","No Holiday","Yes"
"247","04/08/2018",640,33.2,52,2.5,1514,22,1.59,0,0,"Summer","No Holiday","Yes"
"248","05/08/2018",565,32.5,59,3.4,1780,23.4,2.33,0,0,"Summer","No Holiday","Yes"
"249","06/08/2018",613,33.2,59,2.6,1289,24,2.37,0,0,"Summer","No Holiday","Yes"
"250","07/08/2018",770,31.9,57,0.9,1981,22.3,1.28,0,0,"Summer","No Holiday","Yes"
"251","08/08/2018",629,34.1,46,1.6,1885,20.8,2.72,0,0,"Summer","No Holiday","Yes"
"252","09/08/2018",484,31.1,63,3,1795,23.2,1.14,0,0,"Summer","No Holiday","Yes"
"253","10/08/2018",721,33.4,47,1.3,2000,20.5,2.51,0,0,"Summer","No Holiday","Yes"
"254","11/08/2018",759,33.2,50,2.3,2000,21.3,2.84,0,0,"Summer","No Holiday","Yes"
"255","12/08/2018",670,33.8,44,2,1899,19.8,2.72,0,0,"Summer","No Holiday","Yes"
"256","13/08/2018",724,33.4,54,2.6,1648,22.8,2.09,0,0,"Summer","No Holiday","Yes"
"257","14/08/2018",699,33.9,49,1.5,1841,21.6,1.91,0,0,"Summer","No Holiday","Yes"
"258","15/08/2018",563,36.5,41,1.1,1807,21.1,2.73,0,0,"Summer","Holiday","Yes"
"259","16/08/2018",668,34.5,44,2.2,2000,20.4,3.19,0,0,"Summer","No Holiday","Yes"
